Date,CNSI,CNSI_Z,Fiedler
2020-08-14,3.6730562063739034e-06,-0.08883909842702974,2.4494633324702373
2020-08-17,4.877868500451708e-06,-0.08810400696686506,2.469836159217252
2020-08-18,4.49921584808862e-06,-0.08834145474365807,2.472207775052988
2020-08-19,3.7741303786163942e-06,-0.08879152482668877,2.4613913163049475
2020-08-20,3.6737670984415436e-06,-0.08885427938129958,2.639113384406145
2020-08-21,8.147104403154802e-06,-0.08610381955204165,3.098897779067469
2020-08-24,1.2111165264496417e-05,-0.08364181100034844,3.106968203013996
2020-08-25,1.2222678379935208e-06,-0.09033006390971608,3.217029175391316
2020-08-26,8.358814095995679e-06,-0.0859215089186834,3.189647167091931
2020-08-27,7.8932245069349e-06,-0.08620372613369037,4.157871014709085
2020-08-28,7.3160585475899125e-06,-0.08657497926635144,4.354961435368857
2020-08-31,8.038746062195794e-06,-0.08614024264655237,4.462642088846308
2020-09-01,5.166254502986983e-06,-0.0879172964660967,5.257070767839941
2020-09-02,5.417340344706069e-06,-0.08774448309812846,5.332993721492434
2020-09-03,5.8565501835295804e-06,-0.08748363046241735,5.576338433248029
2020-09-04,1.4898722131123184e-05,-0.08192712989606321,5.699958196562081
2020-09-07,4.227340221885569e-06,-0.08852558906449073,6.208035749951442
2020-09-08,1.8900305964102093e-06,-0.08995429383377844,6.1127961457649125
2020-09-09,3.0833338825005306e-05,-0.07213173238132127,6.3977034504049115
2020-09-10,1.4656522276353967e-05,-0.08215000592342218,5.979018780947549
2020-09-11,1.2175056447274807e-05,-0.08371148693151073,5.810023408556171
2020-09-14,1.9357820192415173e-06,-0.0900318027946921,5.765212329013606
2020-09-15,1.3867476572805606e-06,-0.09036807820522716,5.911165538141823
2020-09-16,2.427573932677804e-06,-0.08972524787952767,6.225035744790038
2020-09-17,4.252067006021708e-06,-0.08860184150664795,6.219784921717903
2020-09-18,1.4556304762236024e-06,-0.09030835754008372,5.926832347868071
2020-09-21,3.45130972818746e-06,-0.08906137462284368,5.971137592956607
2020-09-22,1.4094274299249178e-05,-0.08251365621353142,5.900668393984045
2020-09-23,2.8332979841169286e-06,-0.08947189790917442,5.861097722577359
2020-09-24,1.2456391174116355e-05,-0.08355408744575792,6.110003102036657
2020-09-25,7.759287080225455e-06,-0.08646372593261567,6.152422753037715
2020-09-28,2.7326700146168555e-06,-0.08957264848690134,6.190551942537824
2020-09-29,6.374083404542246e-06,-0.08722329512562282,6.240428763420438
2020-09-30,6.707222198068937e-06,-0.08694778713295562,6.1981616239147765
2020-10-01,4.964813071487841e-06,-0.08803104446985373,6.025736614243581
2020-10-02,1.828729175528783e-06,-0.08993706116787971,6.011403986608938
2020-10-05,1.6169224569976524e-06,-0.09005969553788283,6.032946350985513
2020-10-06,6.271336237927834e-06,-0.0871783039523448,6.045092625422456
